query	subject	evalue	coverage	pratio	score	qLen	sLen	qCoverage	sCoverage	defLine
Gorai.007G201000.1	AT2G18193.1	0.0	0.864654333008763	1.07474747474747	535	532	495	0.834586466165414	0.917171717171717	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Gorai.001G150900.1	AT1G01120.1	0.0	0.985835694050991	1.00568181818182	863	531	528	0.988700564971751	0.988636363636364	3-ketoacyl-CoA synthase 1
Gorai.011G158300.1	AT2G32800.1	0.0	0.988710635769459	0.977673325499412	1039	832	851	1	0.99647473560517	protein kinase family protein
Gorai.011G049900.1	AT1G31260.1	1e-163	0.959778085991678	0.980769230769231	456	357	364	0.969187675070028	0.967032967032967	zinc transporter 10 precursor
Gorai.011G280400.1	AT2G39970.1	1e-180	0.967261904761905	1.03021148036254	498	341	331	0.961876832844575	0.981873111782477	Mitochondrial substrate carrier family protein
Gorai.006G112800.1	AT3G23970.1	2e-19	0.823238566131026	0.958837772397094	86.0	396	413	0.840909090909091	0.811138014527845	F-box family protein
Gorai.006G216600.1	AT5G46770.1	1e-20	0.977099236641221	0.969924812030075	79.0	129	133	0.992248062015504	1	
Gorai.002G142000.1	AT2G34670.2	0.0	0.962852897473997	0.939481268011527	570	652	694	0.993865030674847	0.982708933717579	Protein of unknown function (DUF630 and DUF632)
Gorai.010G231600.1	AT2G19730.1	2e-81	0.976109215017065	1.04895104895105	234	150	143	0.953333333333333	1	Ribosomal L28e protein family
Gorai.013G017500.1	AT3G11150.1	1e-102	0.976	1.02156334231806	301	379	371	0.994722955145119	0.986522911051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Gorai.003G041000.1	AT2G22400.1	0.0	0.936602870813397	1.06930693069307	1015	864	808	0.945601851851852	0.969059405940594	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Gorai.011G283800.1	AT5G05760.1	1e-143	0.911804613297151	1.19345238095238	406	401	336	0.850374064837905	1	syntaxin of plants 31
Gorai.006G209900.1	AT1G12805.1	7e-11	0.979865771812081	0.986666666666667	51.4	74	75	0.986486486486487	0.986666666666667	nucleotide binding
Gorai.008G055100.1	AT3G12770.1	0.0	0.956521739130435	1.05475504322767	963	732	694	0.931693989071038	0.988472622478386	mitochondrial editing factor  22
Gorai.004G206400.1	AT4G22920.1	1e-128	0.957364341085271	0.925373134328358	361	248	268	0.995967741935484	0.921641791044776	non-yellowing 1
Gorai.004G199000.1	AT4G16566.1	2e-78	0.965986394557823	1.01369863013699	227	148	146	0.966216216216216	0.972602739726027	histidine triad nucleotide-binding 4
Gorai.005G038100.1	AT2G19660.1	1e-95	0.920777279521674	1.02114803625378	299	676	662	0.952662721893491	0.930513595166163	Cysteine/Histidine-rich C1 domain family protein
Gorai.011G177600.1	AT2G40210.1	4e-35	0.428571428571429	0.962264150943396	127	357	371	0.436974789915966	0.420485175202156	AGAMOUS-like 48
Gorai.002G231100.1	AT1G76730.1	0.0	0.96551724137931	1.04802259887006	516	371	354	0.943396226415094	1	NagB/RpiA/CoA transferase-like superfamily protein
Gorai.009G011400.1	AT4G32600.1	0.0	0.719026548672566	0.995584988962472	511	451	453	0.729490022172949	0.717439293598234	RING/U-box superfamily protein
Gorai.002G066700.1	AT4G16330.2	1e-151	0.805970149253731	1.02472527472527	427	373	364	0.809651474530831	0.815934065934066	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Gorai.011G004200.1	AT2G34710.1	0.0	0.997067448680352	1.00117370892019	1425	853	852	1	0.997652582159624	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Gorai.006G192300.1	AT1G18100.1	1e-103	0.997101449275362	0.994219653179191	291	172	173	1	1	PEBP (phosphatidylethanolamine-binding protein) family protein
Gorai.001G257900.1	AT3G28460.1	1e-145	0.953125	1.03821656050955	407	326	314	0.93558282208589	0.977707006369427	methyltransferases
Gorai.002G033000.1	AT1G79050.1	0.0	0.889406286379511	0.956719817767654	665	420	439	0.916666666666667	0.870159453302961	recA DNA recombination family protein
Gorai.010G205300.1	AT5G14990.1	8e-58	0.5440097799511	1.45645645645646	204	970	666	0.509278350515464	0.668168168168168	
Gorai.001G100500.1	AT3G07568.1	2e-30	0.985294117647059	1	100	68	68	0.985294117647059	0.985294117647059	
Gorai.007G097300.1	AT4G00590.1	0.0	0.969843184559711	1.03186274509804	547	421	408	0.985748218527316	0.985294117647059	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Gorai.009G426600.1	AT4G27160.1	7e-11	0.686084142394822	0.884146341463415	54.8	145	164	0.731034482758621	0.725609756097561	seed storage albumin 3
Gorai.009G111800.1	AT5G58320.2	1e-143	0.913265306122449	1.10752688172043	417	618	558	0.970873786407767	0.962365591397849	Kinase interacting (KIP1-like) family protein
Gorai.003G095900.1	AT3G22670.1	0.0	0.916591928251121	0.983985765124555	515	553	562	0.924050632911392	0.941281138790036	Pentatricopeptide repeat (PPR) superfamily protein
Gorai.005G241700.1	AT1G11000.1	0.0	0.989492119089317	0.993019197207679	801	569	573	0.992970123022847	1	Seven transmembrane MLO family protein
Gorai.009G195000.1	AT1G75710.1	0.0	0.957110609480813	0.917748917748918	531	424	462	1	1	C2H2-like zinc finger protein
Gorai.005G019600.1	AT3G59350.1	0.0	0.977722772277228	0.980392156862745	653	400	408	0.9875	0.985294117647059	Protein kinase superfamily protein
Gorai.002G221900.1	AT1G77600.3	0.0	0.993639575971731	0.987359550561798	1184	1406	1424	1	0.999297752808989	ARM repeat superfamily protein
Gorai.008G258200.1	AT4G24110.1	4e-51	0.948	1	163	250	250	0.976	0.948	
Gorai.001G000900.1	AT3G48750.1	0.0	1	1	542	294	294	1	1	cell division control 2
Gorai.005G231500.1	AT3G19630.1	0.0	0.985234899328859	1.00268817204301	588	373	372	0.983914209115281	0.986559139784946	Radical SAM superfamily protein
Gorai.012G072100.1	AT5G06060.1	1e-147	0.962406015037594	1.01515151515152	410	268	264	0.955223880597015	0.96969696969697	NAD(P)-binding Rossmann-fold superfamily protein
Gorai.009G354500.1	AT1G79040.1	2e-77	0.996415770609319	0.992857142857143	224	139	140	1	1	photosystem II subunit R
Gorai.009G440900.1	AT3G20470.1	6e-04	0.233676975945017	0.672413793103448	35.9	117	174	0.290598290598291	0.195402298850575	glycine-rich protein 5
Gorai.011G035400.1	AT1G29660.1	0.0	0.993103448275862	0.991758241758242	555	361	364	1	0.989010989010989	GDSL-like Lipase/Acylhydrolase superfamily protein
Gorai.009G284500.1	AT4G08350.1	0.0	0.949688548155247	1.00480307396734	1485	1046	1041	0.951242829827916	0.951969260326609	global transcription factor group A2
Gorai.009G211800.1	AT1G07700.3	2e-82	0.807424593967517	0.986175115207373	241	214	217	0.873831775700935	0.80184331797235	Thioredoxin superfamily protein
Gorai.001G204700.1	AT3G26618.1	0.0	0.998851894374282	1.00229885057471	845	436	435	1	1	eukaryotic release factor 1-3
Gorai.005G227300.1	AT5G64410.1	0.0	0.863095238095238	1.30452674897119	1311	951	729	0.765509989484753	0.994513031550069	oligopeptide transporter 4
Gorai.005G137600.1	AT1G26090.1	0.0	0.912124582869855	0.975824175824176	518	444	455	0.923423423423423	0.907692307692308	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Gorai.001G266600.1	AT5G14450.1	0.0	0.988296488946684	0.976863753213368	572	380	389	1	0.989717223650386	GDSL-like Lipase/Acylhydrolase superfamily protein
Gorai.009G393700.1	AT3G05680.2	0.0	0.991248272685398	1.01765799256506	2292	2190	2152	1	1	embryo defective 2016
Gorai.008G033700.1	AT2G21180.1	1e-28	0.972972972972973	0.977099236641221	99.8	128	131	0.984375	0.984732824427481	
Gorai.009G437100.1	AT1G28570.1	1e-140	0.954314720812183	1.02570694087404	400	399	389	0.957393483709273	0.966580976863753	SGNH hydrolase-type esterase superfamily protein
Gorai.009G404700.1	AT2G36320.1	7e-72	1	1	211	161	161	1	1	A20/AN1-like zinc finger family protein
Gorai.013G255100.1	AT5G39940.1	0.0	0.885448916408669	1.01875	581	489	480	0.879345603271984	0.89375	FAD/NAD(P)-binding oxidoreductase family protein
Gorai.006G066800.1	AT3G57990.1	1e-132	0.96927374301676	0.950953678474114	377	349	367	0.994269340974212	1	
Gorai.009G094500.1	AT1G13250.1	0.0	0.943396226415094	0.997101449275362	513	344	345	0.953488372093023	0.942028985507246	galacturonosyltransferase-like 3
Gorai.008G260300.1	AT1G32930.1	0.0	0.9975	1.00501253132832	653	401	399	1	1	Galactosyltransferase family protein
Gorai.009G264400.1	AT1G22710.1	0.0	0.94062205466541	1.072265625	710	549	512	0.941712204007286	0.974609375	sucrose-proton symporter 2
Gorai.004G207200.1	AT1G12570.1	0.0	0.978571428571429	0.958041958041958	773	548	572	1	0.996503496503496	Glucose-methanol-choline (GMC) oxidoreductase family protein
Gorai.008G111700.1	AT2G44600.1	2e-63	0.968903436988543	0.952076677316294	197	298	313	0.993288590604027	0.993610223642173	
Gorai.002G054700.1	AT3G14910.1	0.0	0.99780701754386	1.0043956043956	699	457	455	1	1	
Gorai.006G075000.1	AT2G36980.1	0.0	0.987240829346092	1.0064	723	629	625	0.985691573926868	0.9904	Tetratricopeptide repeat (TPR)-like superfamily protein
Gorai.004G100700.1	AT5G57510.1	2e-33	0.92	0.923076923076923	111	120	130	0.958333333333333	0.938461538461538	
Gorai.011G295200.1	AT1G30610.1	0.0	0.834715312327253	0.798210735586481	792	803	1006	0.940224159402242	0.757455268389662	pentatricopeptide (PPR) repeat-containing protein
Gorai.009G287800.1	AT1G72180.1	0.0	0.988741044012282	1	1114	977	977	0.988741044012282	0.992835209825998	Leucine-rich receptor-like protein kinase family protein
Gorai.008G139100.1	AT4G02020.1	0.0	0.944890929965557	1.03504672897196	962	886	856	0.968397291196388	0.961448598130841	SET domain-containing protein
Gorai.010G170400.1	AT4G19550.2	3e-07	0.352144469525959	0.986547085201794	47.4	220	223	0.354545454545455	0.36322869955157	zinc ion binding;transcription regulators
Gorai.008G215600.1	AT5G07670.1	0.0	0.973767051416579	1.00210084033613	591	477	476	0.981132075471698	0.974789915966387	RNI-like superfamily protein
Gorai.005G046000.1	AT3G22930.1	5e-93	0.904024767801858	0.867052023121387	265	150	173	0.973333333333333	0.84393063583815	calmodulin-like 11
Gorai.009G298000.1	AT1G08315.1	1e-134	0.948678071539658	0.978461538461538	379	318	325	0.959119496855346	0.963076923076923	ARM repeat superfamily protein
Gorai.004G281100.1	AT5G19580.1	0.0	0.862903225806452	1.08754208754209	576	646	594	0.842105263157895	0.900673400673401	glyoxal oxidase-related protein
Gorai.002G182600.1	AT1G27340.1	0.0	0.996784565916399	0.997858672376874	651	466	467	0.997854077253219	0.995717344753747	Galactose oxidase/kelch repeat superfamily protein
Gorai.005G005000.1	AT3G51620.2	0.0	0.93169877408056	1.06634499396864	813	884	829	0.95475113122172	0.962605548854041	PAP/OAS1 substrate-binding domain superfamily
Gorai.012G155900.1	AT4G38630.1	0.0	0.983397190293742	1.02849740932642	528	397	386	0.987405541561713	0.99740932642487	regulatory particle non-ATPase 10
Gorai.007G152800.1	AT3G24750.1	6e-23	0.708045977011494	1.57396449704142	89.4	266	169	0.597744360902256	0.911242603550296	
Gorai.007G275900.1	AT3G04760.1	0.0	0.966386554621849	0.976744186046512	826	588	602	0.977891156462585	0.981727574750831	Pentatricopeptide repeat (PPR-like) superfamily protein
Gorai.007G065300.1	AT5G09330.1	2e-94	0.461722488038278	0.70961145194274	283	347	489	0.556195965417867	0.396728016359918	NAC domain containing protein 82
Gorai.003G049800.1	AT5G58890.1	3e-27	0.568218298555377	1.11904761904762	104	329	294	0.537993920972644	0.605442176870748	AGAMOUS-like 82
Gorai.001G043000.1	AT4G02530.1	3e-79	0.75	1.07407407407407	233	232	216	0.724137931034483	0.796296296296296	chloroplast thylakoid lumen protein
Gorai.011G236400.1	AT3G54870.1	0.0	0.84732052578362	1.10201912858661	1108	1037	941	0.810028929604629	0.890541976620616	Armadillo/beta-catenin repeat family protein / kinesin motor family protein
Gorai.010G178800.1	AT1G61820.1	0.0	0.976744186046512	1	659	516	516	0.976744186046512	0.978682170542636	beta glucosidase 46
Gorai.003G002400.1	AT4G35560.2	0.0	0.991387559808612	0.990476190476191	1090	1040	1050	0.996153846153846	0.992380952380952	Transducin/WD40 repeat-like superfamily protein
Gorai.007G209900.1	AT5G66920.1	0.0	0.952995391705069	0.987179487179487	829	539	546	0.959183673469388	0.946886446886447	SKU5  similar 17
Gorai.007G018900.1	AT1G32860.1	0.0	0.920143027413588	0.969483568075117	534	413	426	0.934624697336562	0.936619718309859	Glycosyl hydrolase superfamily protein
Gorai.007G271400.1	AT5G18430.1	0.0	0.980874316939891	1.02209944751381	534	370	362	0.972972972972973	0.99171270718232	GDSL-like Lipase/Acylhydrolase superfamily protein
Gorai.007G267600.1	AT1G09230.1	1e-176	0.957654723127036	1.08371040723982	496	479	442	1	0.997737556561086	RNA-binding (RRM/RBD/RNP motifs) family protein
Gorai.N000600.1	AT4G11120.1	1e-174	0.929503916449086	0.939240506329114	486	371	395	0.959568733153639	0.913924050632911	translation elongation factor Ts (EF-Ts), putative
Gorai.009G126400.1	AT1G15750.1	0.0	0.998234774933804	1.00353669319187	2047	1135	1131	1	1	Transducin family protein / WD-40 repeat family protein
Gorai.011G088400.1	AT3G26730.1	0.0	0.825396825396825	0.958549222797927	720	740	772	0.843243243243243	0.810880829015544	RING/U-box superfamily protein
Gorai.002G233500.1	AT5G06530.2	0.0	0.995330220146765	0.996005326231691	1184	748	751	0.997326203208556	0.994673768308921	ABC-2 type transporter family protein
Gorai.010G139300.1	AT3G28470.1	3e-78	0.400568181818182	1.22082018927445	238	387	317	0.364341085271318	0.444794952681388	Duplicated homeodomain-like superfamily protein
Gorai.011G047500.1	AT2G20490.1	2e-36	1	1	115	64	64	1	1	nucleolar RNA-binding Nop10p family protein
Gorai.002G012300.1	AT4G10170.1	1e-87	0.903571428571429	1.20472440944882	258	306	254	0.901960784313726	0.996062992125984	SNARE-like superfamily protein
Gorai.003G057900.1	AT5G16690.1	0.0	0.991769547325103	0.986376021798365	756	724	734	0.998618784530387	0.998637602179837	origin recognition complex subunit 3
Gorai.008G251100.1	AT3G22980.1	0.0	0.994123408423115	1.01182266009852	1571	1027	1015	1	1	Ribosomal protein S5/Elongation factor G/III/V family protein
Gorai.003G109300.1	AT4G24820.1	0.0	0.987080103359173	1	674	387	387	0.987080103359173	0.992248062015504	26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain
Gorai.007G085400.1	AT1G02140.1	1e-102	0.996677740863787	1.00666666666667	288	151	150	1	1	mago nashi family protein
Gorai.006G171600.1	AT5G02220.1	2e-23	0.828571428571429	0.944444444444444	82.9	68	72	0.852941176470588	0.847222222222222	
Gorai.008G240900.1	AT4G12040.1	1e-68	0.988439306358382	0.977142857142857	203	171	175	1	1	A20/AN1-like zinc finger family protein
Gorai.013G135200.1	AT1G71692.1	4e-77	0.965686274509804	0.933649289099526	227	197	211	1	0.990521327014218	AGAMOUS-like 12
Gorai.007G246700.1	AT5G64660.1	1e-151	0.979343863912515	0.95952380952381	429	403	420	1	1	CYS, MET, PRO, and GLY protein 2
Gorai.008G024900.1	AT3G19280.1	0.0	0.985250737463127	1.02994011976048	709	516	501	1	1	fucosyltransferase 11
Gorai.003G152300.1	AT2G30360.1	0.0	0.94061757719715	0.935632183908046	554	407	435	0.972972972972973	0.937931034482759	SOS3-interacting protein 4
Gorai.004G023000.1	AT5G58130.1	9e-74	0.307799442896936	0.919786096256685	243	688	748	0.372093023255814	0.295454545454545	RNA-binding (RRM/RBD/RNP motifs) family protein
Gorai.006G232700.1	AT2G43810.1	1e-57	1	1	171	91	91	1	1	Small nuclear ribonucleoprotein family protein
Gorai.001G098600.1	AT3G13224.2	1e-112	0.969784172661871	0.941340782122905	324	337	358	1	1	RNA-binding (RRM/RBD/RNP motifs) family protein
Gorai.009G395600.1	AT5G06550.1	0.0	0.900990099009901	1.01195219123506	729	508	502	0.895669291338583	0.910358565737052	
Gorai.009G236300.1	AT1G34760.1	1e-163	0.998043052837573	1.00392156862745	450	256	255	1	1	general regulatory factor 11
Gorai.007G155000.1	AT3G24870.1	0.0	0.972959183673469	1.05558468799161	1616	2013	1907	1	1	Helicase/SANT-associated, DNA binding protein
Gorai.010G140700.1	AT3G03330.1	1e-172	0.961424332344214	1.05487804878049	478	346	328	0.991329479768786	0.98780487804878	NAD(P)-binding Rossmann-fold superfamily protein
Gorai.005G229200.1	AT3G18890.1	0.0	0.946166394779772	0.912636505460218	537	585	641	0.991452991452991	0.989079563182527	NAD(P)-binding Rossmann-fold superfamily protein
Gorai.007G267500.1	AT2G33260.1	0.0	0.874743326488706	1.23394495412844	565	538	436	0.819702602230483	0.977064220183486	Tryptophan/tyrosine permease
Gorai.007G173500.1	AT1G06550.1	0.0	0.938725490196078	1.10852713178295	587	429	387	0.892773892773893	0.989664082687339	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
Gorai.002G131700.1	AT5G42750.1	2e-32	0.811074918566775	0.821958456973294	117	277	337	0.898916967509025	0.884272997032641	BRI1 kinase inhibitor 1
Gorai.001G243800.1	AT4G38900.1	0.0	0.932142857142857	1.0253164556962	559	567	553	0.954144620811287	0.943942133815552	Basic-leucine zipper (bZIP) transcription factor family protein
Gorai.008G261400.1	AT1G33060.2	1e-142	0.721376571806751	1.31748466257669	424	859	652	0.684516880093131	0.835889570552147	NAC 014
Gorai.005G211100.1	AT5G23230.1	1e-107	0.984924623115578	1.01010101010101	304	200	198	0.98	0.994949494949495	nicotinamidase 2
Gorai.002G032100.1	AT3G06483.1	0.0	0.995918367346939	1.00819672131148	671	369	366	1	1	pyruvate dehydrogenase kinase
Gorai.006G201100.1	AT5G06160.1	0.0	0.995064165844028	1.00992063492063	774	509	504	1	1	splicing factor-related
Gorai.010G148900.1	ATCG00800.1	1e-114	0.90176322418136	0.821100917431193	320	179	218	1	0.821100917431193	structural constituent of ribosome
Gorai.001G109400.1	AT5G37660.2	1e-123	0.937908496732026	1.05369127516779	350	314	298	0.945859872611465	0.963087248322148	plasmodesmata-located protein 7
Gorai.008G267400.1	AT5G53480.1	0.0	0.998849252013809	0.997701149425287	1535	868	870	1	0.997701149425287	ARM repeat superfamily protein
Gorai.011G261500.1	AT3G12530.1	1e-118	0.997613365155131	0.995238095238095	332	209	210	1	0.995238095238095	PSF2
Gorai.010G127600.1	AT3G42630.1	1e-168	0.949707602339181	1.06024096385542	473	440	415	0.938636363636364	0.978313253012048	Pentatricopeptide repeat (PPR) superfamily protein
Gorai.013G024800.1	AT1G49290.1	3e-57	0.931506849315068	0.943786982248521	183	319	338	0.959247648902821	0.946745562130177	
Gorai.002G235100.1	AT3G11670.1	0.0	0.9625	0.98019801980198	1188	792	808	0.972222222222222	0.961633663366337	UDP-Glycosyltransferase superfamily protein
Gorai.013G195700.1	AT1G28760.1	1e-146	0.847222222222222	1.11764705882353	422	532	476	0.825187969924812	0.897058823529412	Uncharacterized conserved protein (DUF2215)
Gorai.009G400900.1	AT2G36210.1	9e-45	0.961538461538462	0.925925925925926	140	125	135	1	1	SAUR-like auxin-responsive protein family
Gorai.003G032400.1	AT3G49750.1	1e-146	0.948339483394834	0.978102189781022	408	268	274	0.958955223880597	0.941605839416058	receptor like protein 44
Gorai.004G107100.1	AT5G57830.1	3e-49	0.487584650112867	1.28940568475452	167	499	387	0.464929859719439	0.558139534883721	Protein of unknown function, DUF593
Gorai.004G010200.1	AT2G27730.1	2e-29	0.974137931034483	1.05309734513274	100	119	113	1	1	copper ion binding
Gorai.011G090300.1	AT3G21180.1	0.0	0.9963133640553	0.998158379373849	1670	1084	1086	0.997232472324723	0.998158379373849	autoinhibited Ca(2+)-ATPase 9
Gorai.003G044400.1	AT5G10160.1	1e-105	0.809128630705394	1.20091324200913	302	263	219	0.741444866920152	0.908675799086758	Thioesterase superfamily protein
Gorai.012G027600.1	AT1G17860.1	4e-84	0.959390862944162	1.01020408163265	244	198	196	0.97979797979798	0.964285714285714	Kunitz family trypsin and protease inhibitor protein
Gorai.011G168900.1	AT4G14720.1	2e-80	0.920588235294118	1.15873015873016	243	365	315	0.997260273972603	0.993650793650794	TIFY domain/Divergent CCT motif family protein
Gorai.009G039000.1	AT2G26450.1	0.0	0.953942232630757	1.08631921824104	575	667	614	0.997001499250375	0.995114006514658	Plant invertase/pectin methylesterase inhibitor superfamily
Gorai.008G269400.1	AT5G53430.1	0.0	0.977507029053421	1.04602109300096	1459	1091	1043	1	1	SET domain group 29
Gorai.009G287300.1	AT5G27650.1	0.0	0.975765889346136	1.04011194029851	749	1115	1072	1	0.995335820895522	Tudor/PWWP/MBT superfamily protein
Gorai.003G153000.1	AT5G58300.1	0.0	0.996186117467582	1.0045871559633	896	657	654	0.996955859969559	0.998470948012232	Leucine-rich repeat protein kinase family protein
Gorai.005G147800.1	AT2G03830.1	7e-07	0.185328185328185	1.10569105691057	43.5	136	123	0.176470588235294	0.195121951219512	
Gorai.009G031800.1	AT3G47590.1	1e-134	0.982055464926591	0.983818770226537	378	304	309	0.990131578947368	0.98705501618123	alpha/beta-Hydrolases superfamily protein
Gorai.013G266700.1	AT5G60670.1	1e-109	0.987951807228916	1	306	166	166	0.987951807228916	0.987951807228916	Ribosomal protein L11 family protein
Gorai.009G098500.1	AT5G59410.1	3e-75	0.996138996138996	0.992307692307692	218	129	130	1	1	Rab5-interacting family protein
Gorai.001G086600.1	AT1G66480.1	2e-55	0.761487964989059	1.03111111111111	173	232	225	0.758620689655172	0.773333333333333	plastid movement impaired 2
Gorai.004G020800.1	AT5G36110.1	0.0	0.944618599791014	1.0062893081761	598	480	477	0.941666666666667	0.947589098532495	cytochrome P450, family 716, subfamily A, polypeptide 1
Gorai.004G001600.1	AT2G26970.1	1e-111	0.967177242888403	1.05855855855856	316	235	222	0.987234042553191	0.995495495495496	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Gorai.001G124100.1	AT2G27285.1	6e-90	0.963317384370016	0.941176470588235	266	304	323	0.993421052631579	0.975232198142415	Coiled-coil domain-containing protein 55 (DUF2040)
Gorai.004G025900.1	AT5G57300.1	1e-165	0.948929159802306	1.10763888888889	458	319	288	1	1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Gorai.009G236000.1	AT1G22330.1	2e-69	0.518260869565217	0.975945017182131	212	284	291	0.542253521126761	0.512027491408935	RNA-binding (RRM/RBD/RNP motifs) family protein
Gorai.009G237700.1	AT4G08850.1	0.0	0.966357874207704	0.962679425837321	957	1006	1045	0.985089463220676	0.968421052631579	Leucine-rich repeat receptor-like protein kinase family protein
Gorai.007G243200.1	AT5G65210.2	0.0	0.916243654822335	1.14130434782609	515	420	368	0.85952380952381	1	bZIP transcription factor family protein
Gorai.009G166300.1	AT1G28470.1	1e-121	0.966929133858268	1.02229299363057	347	321	314	0.987538940809969	0.977707006369427	NAC domain containing protein 10
Gorai.010G076500.1	AT1G56290.1	0.0	0.93013698630137	1.10982658959538	777	768	692	0.88671875	0.98121387283237	CwfJ-like family protein
Gorai.004G159100.1	AT2G46060.1	0.0	0.985221674876847	1.01239157372986	902	817	807	0.984088127294982	0.991325898389095	transmembrane protein-related
Gorai.007G218000.1	AT5G67290.1	0.0	0.943847072879331	1.0615763546798	563	431	406	0.925754060324826	0.972906403940887	FAD-dependent oxidoreductase family protein
Gorai.010G048400.1	AT2G41705.1	1e-161	0.991304347826087	0.995661605206074	457	459	461	0.993464052287582	0.997830802603037	camphor resistance CrcB family protein
Gorai.005G208500.1	AT3G22104.1	1e-179	0.965648854961832	1.07114624505929	507	542	506	1	1	Phototropic-responsive NPH3 family protein
Gorai.013G029300.1	AT1G68040.1	1e-128	0.975741239892183	1.04407713498623	367	379	363	0.963060686015831	0.997245179063361	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Gorai.002G122400.1	AT1G20100.1	2e-22	0.654300168634064	1.08070175438596	91.1	308	285	0.62987012987013	0.757894736842105	
Gorai.009G058400.1	AT4G32295.1	1e-79	0.461538461538462	1.67647058823529	240	399	238	0.380952380952381	0.617647058823529	
Gorai.005G074300.1	AT1G35670.1	0.0	0.965104685942173	1.02626262626263	842	508	495	0.952755905511811	0.977777777777778	calcium-dependent protein kinase 2
Gorai.005G141100.1	AT2G02950.1	1e-48	0.785087719298246	1.07744874715262	166	473	439	0.845665961945032	0.815489749430524	phytochrome kinase substrate 1
Gorai.013G126700.1	AT5G01860.1	5e-25	0.693156732891832	1.10697674418605	95.0	238	215	0.684873949579832	0.730232558139535	C2H2 and C2HC zinc fingers superfamily protein
Gorai.007G100600.1	AT3G61440.1	0.0	0.982408660351827	1.00815217391304	598	371	368	0.98921832884097	0.986413043478261	cysteine synthase C1
Gorai.013G014500.1	AT3G51950.1	1e-152	0.971223021582734	1.05925925925926	440	572	540	1	1	Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Gorai.008G089900.1	AT2G22300.1	0.0	0.964605946201038	1.05329457364341	955	1087	1032	0.996320147194112	0.99031007751938	signal responsive 1
Gorai.010G250600.1	AT4G22330.1	1e-169	1	1	465	255	255	1	1	Alkaline phytoceramidase (aPHC)
Gorai.013G102700.1	AT1G13570.1	0.0	0.986857825567503	1.01201923076923	536	421	416	0.98812351543943	0.992788461538462	F-box/RNI-like superfamily protein
Gorai.009G346900.1	AT1G69860.1	0.0	0.960629921259842	1.05945945945946	615	588	555	0.959183673469388	0.989189189189189	Major facilitator superfamily protein
Gorai.002G009800.1	AT3G19550.1	1e-23	0.921739130434783	1.09090909090909	86.3	120	110	0.883333333333333	0.963636363636364	
Gorai.002G219100.1	AT1G78060.1	0.0	0.984375	1.0026075619296	1111	769	767	0.984395318595579	0.985658409387223	Glycosyl hydrolase family protein
Gorai.011G108000.1	AT4G37640.1	0.0	1	1	1735	1014	1014	1	1	calcium ATPase 2
Gorai.011G041200.1	AT1G29790.1	0.0	0.98936170212766	0.989417989417989	507	374	378	0.994652406417112	0.994708994708995	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Gorai.004G078100.1	AT3G63240.1	0.0	0.972346119536128	1.04936014625229	792	574	547	0.996515679442509	0.996343692870201	DNAse I-like superfamily protein
Gorai.008G084700.1	AT3G11220.2	1e-164	0.982264665757162	0.96514745308311	459	360	373	1	1	Paxneb protein-related
Gorai.012G154600.1	AT4G34630.1	4e-20	0.273858921161826	1.42211055276382	82.9	283	199	0.250883392226148	0.331658291457286	
Gorai.003G101600.1	AT5G08040.1	9e-23	1	1	80.6	54	54	1	1	mitochondrial import receptor subunit TOM5 homolog
Gorai.009G406500.1	AT3G52910.1	5e-80	0.977303070761015	0.971052631578947	244	369	380	0.994579945799458	0.963157894736842	growth-regulating factor 4
Gorai.011G217300.1	AT1G20960.1	0.0	0.994020239190432	1.00276370336251	3747	2177	2171	0.994487827285255	0.995393827729157	U5 small nuclear ribonucleoprotein helicase, putative
Gorai.002G226100.1	AT2G41670.1	0.0	0.980184940554822	0.961139896373057	576	371	386	1	0.961139896373057	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Gorai.005G045800.1	AT3G22890.1	0.0	0.983853606027987	1.00647948164147	777	466	463	0.991416309012876	0.987041036717063	ATP sulfurylase 1
Gorai.009G091100.1	AT5G58630.1	3e-23	0.341645885286783	1.15591397849462	97.0	430	372	0.374418604651163	0.368279569892473	
Gorai.009G351300.1	AT1G05910.1	0.0	1	1	1629	1210	1210	1	1	cell division cycle protein 48-related / CDC48-related
Gorai.006G101600.1	AT1G80010.1	0.0	0.898630136986301	1.01379310344828	762	735	725	0.892517006802721	0.911724137931034	FAR1-related sequence 8
