PACid	species	locusName	transcriptName	proteinName	PFAM	PFAM_DEF	PANTHER	PANTHER_DEF	KOG	KOG_DEF	EC	EC_DEF	KEGG	KEGG_DEF	GO	GO_DEF	PATHWAY	PATHWAY_DEF	alias	defLine
PAC:26764188	G. raimondii	Gorai.009G249400	Gorai.009G249400.1	Gorai.009G249400.1	PF00628	PF00628 - PHD-finger	PTHR10615; PTHR10615:SF100	PTHR10615 - HISTONE ACETYLTRANSFERASE; PTHR10615:SF100 - SUBFAMILY NOT NAMED			2.3.1.48	2.3.1.48 - Histone acetyltransferase			GO:0008270; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 2) PTHR10615//PTHR10615:SF100 - HISTONE ACETYLTRANSFERASE // SUBFAMILY NOT NAMED
PAC:26767577	G. raimondii	Gorai.009G204900	Gorai.009G204900.1	Gorai.009G204900.1	PF13867	PF13867 - Sin3 binding region of histone deacetylase complex subunit SAP30	PTHR13286:SF6; PTHR13286	PTHR13286 - SAP30; PTHR13286:SF6 - HISTONE DEACETYLASE COMPLEX SUBUNIT SAP30L							GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 3) PTHR13286:SF6 - HISTONE DEACETYLASE COMPLEX SUBUNIT SAP30L
PAC:26833284	G. raimondii	Gorai.006G239000	Gorai.006G239000.1	Gorai.006G239000.1	PF00628; PF16135	PF00628 - PHD-finger; PF16135 - TPL-binding domain in jasmonate signalling	PTHR24098; PTHR24098:SF9	PTHR24098:SF9 - ACYL-COA N-ACYLTRANSFERASE DOMAIN-CONTAINING PROTEIN-RELATED; PTHR24098 - FAMILY NOT NAMED			2.3.1.48	2.3.1.48 - Histone acetyltransferase			GO:0008270; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 5) PTHR24098:SF9 - ACYL-COA N-ACYLTRANSFERASE DOMAIN-CONTAINING PROTEIN-RELATED
PAC:26779672	G. raimondii	Gorai.007G336800	Gorai.007G336800.1	Gorai.007G336800.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR10252:SF49; PTHR10252	PTHR10252:SF49 - SUBFAMILY NOT NAMED; PTHR10252 - HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED	KOG1657	KOG1657 - CCAAT-binding factor, subunit C (HAP5)			K08066	K08066 - nuclear transcription factor Y, gamma	GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 5) K08066 - nuclear transcription factor Y, gamma (NFYC)
PAC:26814984	G. raimondii	Gorai.008G231400	Gorai.008G231400.1	Gorai.008G231400.1	PF02182; PF00856; PF05033	PF05033 - Pre-SET motif; PF02182 - SAD/SRA domain; PF00856 - SET domain	PTHR22884:SF370; PTHR22884	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF370 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH5-RELATED	KOG1082	KOG1082 - Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase	K11420	K11420 - euchromatic histone-lysine N-methyltransferase	GO:0005634; GO:0008270; GO:0005515; GO:0034968; GO:0042393; GO:0018024; GO:0016571	GO:0018024 - Catalysis of the reaction: S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine. The methylation of peptidyl-lysine in histones forms N6-methyl-L-lysine, N6,N6-dimethyl-L-lysine and N6,N6,N6-trimethyl-L-lysine derivatives.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0034968 - The modification of a histone by addition of one or more methyl groups to a lysine residue.; GO:0016571 - The modification of histones by addition of methyl groups.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 9) K11420 - euchromatic histone-lysine N-methyltransferase (EHMT)
PAC:26757502	G. raimondii	Gorai.010G206000	Gorai.010G206000.1	Gorai.010G206000.1	PF13450; PF04433	PF04433 - SWIRM domain; PF13450 - NAD(P)-binding Rossmann-like domain	PTHR10742:SF260; PTHR10742	PTHR10742:SF260 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 HOMOLOG 3; PTHR10742 - AMINE OXIDASE	KOG0029	KOG0029 - Amine oxidase	1.5.3.16	1.5.3.16 - Spermine oxidase	K11450	K11450 - ""	GO:0003677; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	PWY-6441	PWY-6441 - ""		(1 of 3) K11450 - lysine-specific histone demethylase 1 [EC:1.-.-.-] (AOF2, LSD1)
PAC:26810381	G. raimondii	Gorai.011G058700	Gorai.011G058700.1	Gorai.011G058700.1	PF03847	PF03847 - Transcription initiation factor TFIID subunit A	PTHR12264:SF3; PTHR12264	PTHR12264 - FAMILY NOT NAMED; PTHR12264:SF3 - TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 12B	KOG1142	KOG1142 - Transcription initiation factor TFIID, subunit TAF12 (also component of histone acetyltransferase SAGA)			K03126	K03126 - transcription initiation factor TFIID subunit 12	GO:0005669; GO:0046982; GO:0006352	GO:0005669 - A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0006352 - Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription.				(1 of 1) PTHR12264:SF3 - TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 12B
PAC:26780535	G. raimondii	Gorai.007G129900	Gorai.007G129900.1	Gorai.007G129900.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR11064:SF42; PTHR11064	PTHR11064 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED; PTHR11064:SF42 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-5							GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 5) PTHR11064:SF42 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-5
PAC:26756778	G. raimondii	Gorai.010G175600	Gorai.010G175600.1	Gorai.010G175600.1	PF08265; PF05764	PF05764 - YL1 nuclear protein; PF08265 - YL1 nuclear protein C-terminal domain	PTHR13275	PTHR13275 - YL-1 PROTEIN  TRANSCRIPTION FACTOR-LIKE 1	KOG2897; KOG4137	KOG2897 - DNA-binding protein YL1 and related proteins; KOG4137 - Uncharacterized conserved protein			K11664	K11664 - ""	GO:0005634; GO:0006338; GO:0043486; GO:0006355	GO:0006338 - Dynamic structural changes to eukaryotic chromatin occurring throughout the cell division cycle. These changes range from the local changes necessary for transcriptional regulation to global changes necessary for chromosome segregation.; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0043486 - The replacement, within chromatin, of resident histones or histone subunits with alternative, sometimes variant, histones or subunits.; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.				(1 of 1) K11664 - vacuolar protein sorting-associated protein 72 (VPS72, TCFL1, YL1)
PAC:26792512	G. raimondii	Gorai.002G210800	Gorai.002G210800.1	Gorai.002G210800.1	PF02182	PF02182 - SAD/SRA domain	PTHR22884:SF370; PTHR22884	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF370 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH5-RELATED							GO:0042393	GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 6) PTHR22884:SF370 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH5-RELATED
PAC:26790332	G. raimondii	Gorai.013G017700	Gorai.013G017700.1	Gorai.013G017700.1	PF12165; PF00628	PF00628 - PHD-finger; PF12165 - Domain of unknown function (DUF3594)	PTHR12321:SF46; PTHR12321	PTHR12321 - CPG BINDING PROTEIN; PTHR12321:SF46 - SUBFAMILY NOT NAMED	KOG1632	KOG1632 - Uncharacterized PHD Zn-finger protein					GO:0008270; GO:0005515; GO:0042393; GO:0006355	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 4) PTHR12321//PTHR12321:SF46 - CPG BINDING PROTEIN // SUBFAMILY NOT NAMED
PAC:26794801	G. raimondii	Gorai.002G110200	Gorai.002G110200.1	Gorai.002G110200.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR10252:SF48; PTHR10252	PTHR10252 - HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED; PTHR10252:SF48 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-3-RELATED	KOG1657	KOG1657 - CCAAT-binding factor, subunit C (HAP5)			K08066	K08066 - nuclear transcription factor Y, gamma	GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 1) PTHR10252:SF48 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-3-RELATED
PAC:26822485	G. raimondii	Gorai.001G250000	Gorai.001G250000.1	Gorai.001G250000.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR23428	PTHR23428 - HISTONE H2B	KOG1744	KOG1744 - Histone H2B			K11252	K11252 - histone H2B	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 14) K11252 - histone H2B (H2B)
PAC:26821277	G. raimondii	Gorai.001G088600	Gorai.001G088600.1	Gorai.001G088600.1	PF00538; PF02178	PF00538 - linker histone H1 and H5 family; PF02178 - AT hook motif	PTHR11467:SF49; PTHR11467	PTHR11467:SF49 - SUBFAMILY NOT NAMED; PTHR11467 - HISTONE H1/H5							GO:0003677; GO:0005634; GO:0006355; GO:0000786; GO:0000785; GO:0006334	GO:0000785 - The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0006334 - The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 2) PTHR11467//PTHR11467:SF49 - HISTONE H1/H5 // SUBFAMILY NOT NAMED
PAC:26821156	G. raimondii	Gorai.001G178600	Gorai.001G178600.1	Gorai.001G178600.1	PF02373; PF02928; PF02375	PF02375 - jmjN domain; PF02928 - C5HC2 zinc finger; PF02373 - JmjC domain, hydroxylase	PTHR10694; PTHR10694:SF53	PTHR10694:SF53 - SUBFAMILY NOT NAMED; PTHR10694 - JUMONJI DOMAIN CONTAINING PROTEIN					K11446	K11446 - ""						(1 of 5) PTHR10694//PTHR10694:SF53 - JUMONJI DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED
PAC:26805709	G. raimondii	Gorai.005G230800	Gorai.005G230800.1	Gorai.005G230800.1	PF00249; PF00538	PF00538 - linker histone H1 and H5 family; PF00249 - Myb-like DNA-binding domain	PTHR21717:SF27; PTHR21717	PTHR21717 - TELOMERIC REPEAT BINDING PROTEIN; PTHR21717:SF27 - TELOMERE REPEAT-BINDING FACTOR 2-RELATED					K09422	K09422 - ""	GO:0003677; GO:0005634; GO:0000786; GO:0006334	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0006334 - The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 3) PTHR21717:SF27 - TELOMERE REPEAT-BINDING FACTOR 2-RELATED
PAC:26768995	G. raimondii	Gorai.009G424400	Gorai.009G424400.1	Gorai.009G424400.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR23428	PTHR23428 - HISTONE H2B	KOG1744	KOG1744 - Histone H2B			K11252	K11252 - histone H2B	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 14) K11252 - histone H2B (H2B)
PAC:26833010	G. raimondii	Gorai.006G054900	Gorai.006G054900.1	Gorai.006G054900.1	PF12998	PF12998 - Inhibitor of growth proteins N-terminal histone-binding	PTHR10333	PTHR10333 - INHIBITOR OF GROWTH PROTEIN	KOG1973	KOG1973 - Chromatin remodeling protein, contains PHD Zn-finger			K11346	K11346 - ""	GO:0005525; GO:0016568; GO:0005634; GO:0008270; GO:0005515; GO:0003924	GO:0016568 - The alteration of DNA, protein, or sometimes RNA, in chromatin, which may result in changing the chromatin structure.; GO:0003924 - Catalysis of the reaction: GTP + H2O = GDP + phosphate.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0005525 - Interacting selectively and non-covalently with GTP, guanosine triphosphate.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 3) K11346 - inhibitor of growth protein 4 (ING4)
PAC:26797198	G. raimondii	Gorai.003G019300	Gorai.003G019300.1	Gorai.003G019300.1	PF00515; PF13424; PF13414	PF13414 - TPR repeat; PF13424 - Tetratricopeptide repeat; PF00515 - Tetratricopeptide repeat	PTHR15081; PTHR15081:SF1	PTHR15081:SF1 - NUCLEAR AUTOANTIGENIC SPERM PROTEIN; PTHR15081 - NUCLEAR AUTOANTIGENIC SPERM PROTEIN  NASP -RELATED	KOG4563	KOG4563 - Cell cycle-regulated histone H1-binding protein					GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 3) PTHR15081 - NUCLEAR AUTOANTIGENIC SPERM PROTEIN NASP -RELATED
PAC:26756209	G. raimondii	Gorai.010G214700	Gorai.010G214700.1	Gorai.010G214700.1	PF06325	PF06325 - Ribosomal protein L11 methyltransferase (PrmA)	PTHR11006	PTHR11006 - PROTEIN ARGININE N-METHYLTRANSFERASE	KOG1499	KOG1499 - Protein arginine N-methyltransferase PRMT1 and related enzymes	2.1.1.125	2.1.1.125 - Histone-arginine N-methyltransferase			GO:0008168; GO:0006479	GO:0006479 - The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom.; GO:0008168 - Catalysis of the transfer of a methyl group to an acceptor molecule.				(1 of 17) 2.1.1.125 - Histone-arginine N-methyltransferase / Protein-arginine N-methyltransferase
PAC:26798289	G. raimondii	Gorai.003G134900	Gorai.003G134900.1	Gorai.003G134900.1	PF15511	PF15511 - Centromere kinetochore component CENP-T histone fold	PTHR10484	PTHR10484 - HISTONE H4	KOG3467	KOG3467 - Histone H4			K11254	K11254 - histone H4	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 17) K11254 - histone H4 (H4)
PAC:26776134	G. raimondii	Gorai.004G084700	Gorai.004G084700.1	Gorai.004G084700.1	PF16211; PF00125	PF16211 - C-terminus of histone H2A; PF00125 - Core histone H2A/H2B/H3/H4	PTHR23430	PTHR23430 - HISTONE H2A	KOG1756	KOG1756 - Histone 2A			K11251	K11251 - histone H2A	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 22) K11251 - histone H2A (H2A)
PAC:26777223	G. raimondii	Gorai.004G003900	Gorai.004G003900.1	Gorai.004G003900.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR23428	PTHR23428 - HISTONE H2B	KOG1744	KOG1744 - Histone H2B			K11252	K11252 - histone H2B	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 14) K11252 - histone H2B (H2B)
PAC:26801331	G. raimondii	Gorai.005G168300	Gorai.005G168300.1	Gorai.005G168300.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR10252:SF25; PTHR10252	PTHR10252 - HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED; PTHR10252:SF25 - DNA POLYMERASE EPSILON SUBUNIT 4							GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 1) PTHR10252:SF25 - DNA POLYMERASE EPSILON SUBUNIT 4
PAC:26769615	G. raimondii	Gorai.009G168100	Gorai.009G168100.1	Gorai.009G168100.1	PF12165; PF00628	PF00628 - PHD-finger; PF12165 - Domain of unknown function (DUF3594)	PTHR12321; PTHR12321:SF60	PTHR12321 - CPG BINDING PROTEIN; PTHR12321:SF60 - PHD FINGER PROTEIN ALFIN-LIKE 6-RELATED	KOG1632	KOG1632 - Uncharacterized PHD Zn-finger protein					GO:0008270; GO:0005515; GO:0042393; GO:0006355	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 4) PTHR12321:SF60 - PHD FINGER PROTEIN ALFIN-LIKE 6-RELATED
PAC:26827822	G. raimondii	Gorai.012G114500	Gorai.012G114500.1	Gorai.012G114500.1	PF12165; PF00628	PF00628 - PHD-finger; PF12165 - Domain of unknown function (DUF3594)	PTHR12321:SF46; PTHR12321	PTHR12321 - CPG BINDING PROTEIN; PTHR12321:SF46 - SUBFAMILY NOT NAMED	KOG1632	KOG1632 - Uncharacterized PHD Zn-finger protein					GO:0008270; GO:0005515; GO:0042393; GO:0006355	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 4) PTHR12321//PTHR12321:SF46 - CPG BINDING PROTEIN // SUBFAMILY NOT NAMED
PAC:26825402	G. raimondii	Gorai.012G046900	Gorai.012G046900.1	Gorai.012G046900.1	PF13450; PF04433	PF04433 - SWIRM domain; PF13450 - NAD(P)-binding Rossmann-like domain	PTHR10742; PTHR10742:SF284	PTHR10742 - AMINE OXIDASE; PTHR10742:SF284 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A	KOG0029	KOG0029 - Amine oxidase	1.5.3.16	1.5.3.16 - Spermine oxidase			GO:0003677; GO:0005634; GO:0005515; GO:0006351	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0006351 - The cellular synthesis of RNA on a template of DNA.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	PWY-6441	PWY-6441 - ""		(1 of 2) PTHR10742:SF284 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A
PAC:26800125	G. raimondii	Gorai.003G046600	Gorai.003G046600.1	Gorai.003G046600.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR11064:SF45; PTHR11064	PTHR11064 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED; PTHR11064:SF45 - SUBFAMILY NOT NAMED	KOG0869	KOG0869 - CCAAT-binding factor, subunit A (HAP3)					GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 4) PTHR11064//PTHR11064:SF45 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED
PAC:26772909	G. raimondii	Gorai.004G002700	Gorai.004G002700.1	Gorai.004G002700.1	PF15511	PF15511 - Centromere kinetochore component CENP-T histone fold	PTHR10484	PTHR10484 - HISTONE H4	KOG3467	KOG3467 - Histone H4			K11254	K11254 - histone H4	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 17) K11254 - histone H4 (H4)
PAC:26805934	G. raimondii	Gorai.005G106500	Gorai.005G106500.1	Gorai.005G106500.1	PF13867	PF13867 - Sin3 binding region of histone deacetylase complex subunit SAP30	PTHR13286:SF6; PTHR13286	PTHR13286 - SAP30; PTHR13286:SF6 - HISTONE DEACETYLASE COMPLEX SUBUNIT SAP30L							GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 3) PTHR13286:SF6 - HISTONE DEACETYLASE COMPLEX SUBUNIT SAP30L
PAC:26781721	G. raimondii	Gorai.007G215200	Gorai.007G215200.1	Gorai.007G215200.1	PF00856	PF00856 - SET domain	PTHR22884:SF237; PTHR22884	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF237 - HISTONE-LYSINE N-METHYLTRANSFERASE E(Z)			2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase	K11430	K11430 - histone-lysine N-methyltransferase EZH2	GO:0005515; GO:0031519	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0031519 - A chromatin-associated multiprotein complex containing Polycomb Group proteins. In Drosophila, Polycomb group proteins are involved in the long-term maintenance of gene repression, and PcG protein complexes associate with Polycomb group response elements (PREs) in target genes to regulate higher-order chromatin structure.				(1 of 3) K11430 - histone-lysine N-methyltransferase EZH2 (EZH2)
